Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 9.913063645971735e-11
0.35, 9.913063645971735e-11
0.45, 9.913063645971735e-11
0.55, 9.913063645971735e-11
0.65, 9.913063645971735e-11
0.75, 9.913063645971735e-11
0.85, 9.913063645971735e-11
0.95, 9.913063645971735e-11
1.0, 9.913063645971735e-11
