Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 4.3100276721616246e-11
0.35, 4.3100276721616246e-11
0.45, 4.3100276721616246e-11
0.55, 4.3100276721616246e-11
0.65, 4.3100276721616246e-11
0.75, 4.3100276721616246e-11
0.85, 4.3100276721616246e-11
0.95, 4.3100276721616246e-11
1.0, 4.3100276721616246e-11
