Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 1.4471625760542679e-12
0.35, 1.4471625760542679e-12
0.45, 1.4471625760542679e-12
0.55, 1.4471625760542679e-12
0.65, 2.0230742134636196e-12
0.75, 3.197762466442495e-12
0.85, 4.956531822985867e-12
0.95, 7.930450916777388e-12
1.0, 9.913063645971734e-12
