Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 7.774951879193518e-13
0.35, 7.774951879193518e-13
0.45, 1.0064024006062675e-12
0.55, 1.246926244776319e-12
0.65, 1.4906862625521407e-12
0.75, 1.7391339729774973e-12
0.85, 1.982612729194347e-12
0.95, 2.2276547519037606e-12
1.0, 2.3324855637580554e-12
