Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 2.8733517814410826e-11
0.35, 2.8733517814410826e-11
0.45, 2.8733517814410826e-11
0.55, 2.8733517814410826e-11
0.65, 2.8733517814410826e-11
0.75, 2.8733517814410826e-11
0.85, 2.8733517814410826e-11
0.95, 2.8733517814410826e-11
1.0, 2.8733517814410826e-11
