Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 2.2276547519037605e-15
0.35, 2.2276547519037605e-15
0.45, 2.2276547519037605e-15
0.55, 2.2276547519037605e-15
0.65, 2.2276547519037605e-15
0.75, 2.2276547519037605e-15
0.85, 2.2276547519037605e-15
0.95, 2.2276547519037605e-15
1.0, 2.2276547519037605e-15
