Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 1.4161519494245338e-10
0.35, 1.4161519494245338e-10
0.45, 1.4161519494245338e-10
0.55, 1.4161519494245338e-10
0.65, 1.4161519494245338e-10
0.75, 1.4161519494245338e-10
0.85, 1.4161519494245338e-10
0.95, 1.4161519494245338e-10
1.0, 1.4161519494245338e-10
