Vapour diffusivity (pressure)
RH (-), delta_p (kg/msPa)
0.0, 1.5250867147648823e-10
0.35, 1.5250867147648823e-10
0.45, 1.5250867147648823e-10
0.55, 1.5250867147648823e-10
0.65, 1.5250867147648823e-10
0.75, 1.5250867147648823e-10
0.85, 1.5250867147648823e-10
0.95, 1.5250867147648823e-10
1.0, 1.5250867147648823e-10
